iter	Logloss
0	0.661105692
1	0.6340701297
2	0.6083291371
3	0.5869132504
4	0.567759071
5	0.5496079997
6	0.5346781028
7	0.5214794275
8	0.5090124718
9	0.4978859409
10	0.48919359
11	0.4801125082
12	0.4725441414
13	0.465598476
14	0.4599147013
15	0.4542197487
16	0.4497958426
17	0.4451953508
18	0.4410110754
19	0.4370583841
20	0.4338195643
21	0.4306539232
22	0.427892048
23	0.4254639537
24	0.423421903
25	0.4215279196
26	0.4194277652
27	0.4176271073
28	0.4161703971
29	0.4149227096
30	0.4133468272
31	0.4119464111
32	0.4108749066
33	0.4095710855
34	0.4087993518
35	0.4077928855
36	0.4070274486
37	0.4059838353
38	0.4052701229
39	0.4044729179
40	0.4037097409
41	0.4030656524
42	0.4024907961
43	0.4019164574
44	0.4014244858
45	0.4009934207
46	0.4005623651
47	0.4002775743
48	0.3997642577
49	0.3992914036
50	0.3990315705
51	0.3985412272
52	0.3982542407
53	0.3979242125
54	0.3974986637
55	0.3972080328
56	0.3969307032
57	0.3967200076
58	0.3965183704
59	0.3961237484
60	0.3958947775
61	0.3955965703
62	0.3952966974
63	0.3950775564
64	0.3947306514
65	0.3944599032
66	0.3942936507
67	0.3941542009
68	0.3939889946
69	0.3938226881
70	0.3934951336
71	0.3933730879
72	0.3932703851
73	0.393076805
74	0.3929675718
75	0.3926790422
76	0.3925155854
77	0.3923704591
78	0.3921545395
79	0.3920965591
80	0.3920074289
81	0.391902899
82	0.3916304791
83	0.3914941409
84	0.3913981882
85	0.3913017528
86	0.3911714354
87	0.3910250516
88	0.3909505156
89	0.3908018236
90	0.3907035882
91	0.3905202302
92	0.3904461171
93	0.390239089
94	0.3901217231
95	0.3900490125
96	0.3898353442
97	0.3897797053
98	0.3896706549
99	0.3896034865
