iter	Passed	Remaining
0	165	16373
1	172	8430
2	178	5769
3	184	4434
4	192	3650
5	198	3109
6	206	2740
7	212	2446
8	219	2214
9	225	2031
10	232	1879
11	239	1756
12	246	1648
13	253	1556
14	260	1474
15	267	1402
16	274	1341
17	282	1285
18	290	1236
19	298	1194
20	308	1159
21	316	1122
22	323	1084
23	330	1045
24	337	1011
25	344	980
26	352	951
27	360	926
28	368	901
29	375	876
30	383	853
31	390	829
32	397	807
33	403	784
34	410	762
35	417	741
36	424	723
37	431	704
38	439	687
39	447	671
40	455	655
41	462	638
42	470	623
43	481	612
44	488	597
45	495	582
46	504	569
47	512	555
48	521	542
49	529	529
50	536	515
51	543	501
52	550	488
53	556	474
54	563	460
55	569	447
56	576	434
57	583	422
58	589	409
59	596	397
60	603	385
61	610	374
62	617	362
63	626	352
64	635	341
65	641	330
66	648	319
67	655	308
68	662	297
69	669	286
70	676	276
71	683	265
72	689	255
73	697	245
74	704	234
75	711	224
76	718	214
77	726	204
78	732	194
79	739	184
80	745	174
81	752	165
82	759	155
83	766	146
84	773	136
85	781	127
86	787	117
87	794	108
88	801	99
89	808	89
90	815	80
91	822	71
92	828	62
93	835	53
94	842	44
95	850	35
96	857	26
97	863	17
98	870	8
99	876	0
